TimeUTC;TimeDK;PriceArea;DayAheadPriceEUR;DayAheadPriceDKK
2026-02-28 23:00:00;2026-03-01 00:00:00;DK2;49,740002;371,647347
2026-02-28 23:15:00;2026-03-01 00:15:00;DK2;48,880001;365,221591
2026-02-28 23:30:00;2026-03-01 00:30:00;DK2;46,020000;343,852236
2026-02-28 23:45:00;2026-03-01 00:45:00;DK2;48,000000;358,646400
2026-03-01 00:00:00;2026-03-01 01:00:00;DK2;48,650002;363,503085
2026-03-01 00:15:00;2026-03-01 01:15:00;DK2;50,720001;378,969703
2026-03-01 00:30:00;2026-03-01 01:30:00;DK2;51,490002;384,722997
2026-03-01 00:45:00;2026-03-01 01:45:00;DK2;51,160000;382,257288
2026-03-01 01:00:00;2026-03-01 02:00:00;DK2;50,220001;375,233803
2026-03-01 01:15:00;2026-03-01 02:15:00;DK2;51,080002;381,659559
2026-03-01 01:30:00;2026-03-01 02:30:00;DK2;52,049999;388,907183
2026-03-01 01:45:00;2026-03-01 02:45:00;DK2;52,590000;392,941962
2026-03-01 02:00:00;2026-03-01 03:00:00;DK2;49,849998;372,469215
2026-03-01 02:15:00;2026-03-01 03:15:00;DK2;50,439999;376,877585
2026-03-01 02:30:00;2026-03-01 03:30:00;DK2;51,389999;383,975795
2026-03-01 02:45:00;2026-03-01 03:45:00;DK2;51,279999;383,153897
2026-03-01 03:00:00;2026-03-01 04:00:00;DK2;49,040001;366,417079
2026-03-01 03:15:00;2026-03-01 04:15:00;DK2;49,320000;368,509176
2026-03-01 03:30:00;2026-03-01 04:30:00;DK2;49,860001;372,543955
2026-03-01 03:45:00;2026-03-01 04:45:00;DK2;49,980000;373,440564
2026-03-01 04:00:00;2026-03-01 05:00:00;DK2;47,419998;354,312741
2026-03-01 04:15:00;2026-03-01 05:15:00;DK2;48,730000;364,100814
2026-03-01 04:30:00;2026-03-01 05:30:00;DK2;49,220001;367,762003
2026-03-01 04:45:00;2026-03-01 05:45:00;DK2;49,310001;368,434465
2026-03-01 05:00:00;2026-03-01 06:00:00;DK2;47,790001;357,077329
2026-03-01 05:15:00;2026-03-01 06:15:00;DK2;48,160000;359,841888
2026-03-01 05:30:00;2026-03-01 06:30:00;DK2;49,900002;372,842835
2026-03-01 05:45:00;2026-03-01 06:45:00;DK2;49,980000;373,440564
2026-03-01 06:00:00;2026-03-01 07:00:00;DK2;49,849998;372,469215
2026-03-01 06:15:00;2026-03-01 07:15:00;DK2;50,410000;376,653438
2026-03-01 06:30:00;2026-03-01 07:30:00;DK2;50,119999;374,486609
