,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
h00,281.686628322303,381.27770163867046,320.703136304969,360.88556366511597,315.9767302511965,342.267644328639,327.3736340694395,334.75045983005555,325.489255059438,218.70933702918998,297.0150288909405,307.3541441479975,378.215170524105,376.703154150258,353.048170251434,338.7616035673175,326.8520780771335,376.889929288505,138.6494270417915,328.3250127665765,355.300733428628,358.627449101261,343.76623256381697,338.339314882203,341.0477775540475,276.483803303362,282.05332693264853,346.5959742129785,335.339296065335,311.0017034076555
h01,278.2135076643475,408.235256192813,357.066342142232,366.12345331754796,351.843036555056,359.897566061169,347.6263584652395,339.9989930503715,304.3909350724655,286.2336889194675,276.62782295253203,328.001590976934,407.93486775013747,425.154217314395,373.07750818411,350.6525823133955,348.193423922682,398.0969175997825,255.8078105702245,348.4469355331445,359.6321346895705,364.8553925502845,368.2500730243565,358.4812056806435,339.196656968459,340.957638723833,284.19581422853804,359.434881493496,356.2413400679555,284.17389822138
h02,310.032085751555,384.33544098292947,367.1329640709075,379.76836006574797,356.1183070242585,353.676692223706,353.81941638882046,354.7538880357485,323.787159944567,237.960808449426,292.930706976282,369.8665591229095,386.07527681139754,407.0275211790975,381.1054581776455,337.1572206210015,373.622918785595,390.0856876019925,183.620850330129,365.073969366627,352.053474759487,370.257223799538,357.2481268660675,367.1848008647895,367.9093053548735,365.1526046886755,342.00902368083604,352.403264185708,355.6997150998535,195.07595951743352
h03,282.952420155072,383.765270456176,392.1758278404555,394.4024098398295,377.100637411201,373.192149812136,356.04751228069796,351.9664700317145,317.12331590485996,301.3889593222495,347.8623226195575,365.46593088466153,388.0039852935095,405.22109472856,367.15847326163,379.4222707259395,366.9357427209485,395.694639910317,295.81851390318997,376.182107748964,358.0078338923885,365.19960589566455,352.8887017207265,379.03298321401354,355.45284984678347,358.69500490906955,351.2033101745855,380.8678356187525,357.3672583801835,285.2599732767725
h04,331.4812886652175,354.800687757159,383.8162218833365,388.785850041515,361.99005226926,384.672869055315,358.575385573837,362.95574163112747,344.501374482652,334.984715631272,388.822082433883,352.73371372165553,453.07702139950004,383.088505299735,370.955121460191,367.205991272293,383.43718505527005,389.622688144856,291.2853557083635,365.5921665141465,371.25323440076954,348.7186220702345,325.26167944329296,381.53387858364204,352.1879263715135,337.0474287699535,370.4407307776075,381.602634765649,372.01885772337,315.610304631806
h05,336.023878535563,366.71597783593154,370.222541566702,372.5691852937855,346.647837704237,383.3389454581735,364.641226576517,350.879291024492,373.464192157298,304.4035847346005,381.53420439518845,334.6979924309605,439.3221194294155,374.719997030667,384.292987509958,367.29537080747696,392.804860450589,385.93577180995,301.1525576459985,340.9133613232685,367.90312089148404,324.6548472584605,314.8158049765645,387.625553618737,356.564852663762,354.8877354631385,390.360200350313,354.02155516133047,365.9897589610395,360.536052091513
h06,341.7778578450245,356.772465644274,360.67006281984146,384.916559721556,365.85047597474704,377.565587286619,364.1132962779015,368.5127118313165,378.8515341785755,301.4550678254225,385.7342929024495,369.64261805600603,443.418408524451,370.3112768593545,392.538049706296,376.0870370995805,376.491608299387,391.40907860143295,286.9958356270745,347.455059211058,373.2981579642145,360.062567158222,245.54931950175248,392.342518390982,360.5711937537255,360.31808500612,356.4232999070495,380.100365576542,378.215877712821,365.9686555795285
h07,345.3407240377235,377.54132479949146,346.8825128251425,386.7039337716785,373.92013866073995,384.9578098541785,374.2785467691675,361.19805926206897,376.176800931155,307.16429165731154,379.9067249530605,375.4801571738855,433.71936374440503,375.4089739544585,391.820312701846,362.4032025217065,385.51201496847096,387.0337489806875,336.4706659669675,351.53305533204247,388.3227573166995,345.97043279953147,307.7561625206685,384.52317861117854,377.7755362161285,370.79371543485803,323.43435281781,376.011756419282,380.707019855618,380.7336762803965
h08,353.09770497333596,376.122067711333,372.713718449773,396.450276921117,381.198907221291,390.7477190996525,359.1558007463305,350.4737866344575,399.3501192475935,337.0551892779295,378.4956893612635,372.57860244692546,400.4603809141495,370.06289057638804,382.7017497678775,348.561635421658,379.024636540529,367.699502351838,271.2152302911245,357.0146830856055,372.263701830374,344.691125220078,299.029864343893,380.46836124758596,362.50743961154103,343.82725419802404,365.925373500743,377.240144179575,393.602919550109,379.896387245048
h09,327.970430008938,358.449517621367,380.4047495180185,392.1074103570315,390.31132786706354,383.45694446900103,380.3086162259125,364.8512433215555,422.9840885068715,367.515374931378,386.7067225058275,394.25212346648505,436.735019606268,373.38316042679946,370.904347039511,356.859503080021,375.190738565201,367.440375776576,273.4344545367155,343.7447257350505,361.5063022670665,315.8624786512895,339.754012989329,382.6900534131935,328.44336271522053,314.1843591917475,350.3901375558885,357.57560774466754,417.671279489467,398.725651478109
