hour,mean,std,min,p05,p10,p25,p50,p75,p90,p95,max
0,123.74218775000004,46.224328728173184,7.86875,36.095625000000005,57.93812584375001,103.62812507812501,138.81875046875,162.706249453125,171.7603146875,173.46218959375,179.4531253125
1,81.42234956437494,31.0486302839126,3.48925,18.87818125,40.60513845625001,64.665875478125,91.38031186250001,109.192592953125,112.92951141625,113.805652348125,117.2617485125
2,89.48156916562496,38.56637277374456,2.454375,14.1805,41.553212882500006,68.94137669999999,92.71799978749999,108.415375425,136.37281228125,156.67250179687503,169.54687625000003
3,88.92427515437495,39.09429125165579,0.975375,11.433243548125002,40.57484901250001,64.22812499999999,93.0962514875,108.001093275,137.0206270625,155.5090619375,171.8375015625
4,89.82060009499995,40.087770181547775,1.24525,15.694481451875005,40.1642369575,62.9255006375,98.177125425,109.36046694374998,144.484063125,156.150467859375,173.631253125
5,128.34703164062503,49.578336640808295,3.6343749999999995,35.227812796875014,58.44281253125001,102.68515625,150.7656253125,161.58359117187499,171.39781334375,174.20297148437493,193.14062624999997
6,154.66218685937505,59.04664654117198,10.571874999999999,58.66562589062501,78.07749840625002,121.06874984375,163.6609365625,194.332812265625,213.02624678125025,240.64875128125,244.7812459375
7,172.70656214062495,68.28231097894337,24.90625,61.13687440625,96.09062465625001,138.515623515625,168.79218703125,220.013278984375,241.24562728125017,260.90234392187483,325.7249975
8,113.74302521375004,46.177225691423004,5.913874999999999,40.347550605625,63.91489932875,90.42140715312499,116.82187574374998,140.16287245,171.14437496875001,191.46406704687496,241.69687531249997
9,88.33028755937501,39.21577268283863,1.7021249999999999,18.550287500000003,47.06727480875001,69.71784356875,87.3566226625,112.65803078125,128.73843465625,155.113436671875,188.45937499999997
10,66.77549985749997,36.68862666288563,1.36,9.380193346250001,13.183499999999999,36.0973747875,72.125812775,90.33918606249999,110.2721895937501,126.65843671874997,147.725000625
11,52.04646273750002,35.66314277456496,1.36,1.632,2.35025,18.80625,58.11450085,82.54350042499999,90.71499931250003,103.06734496874995,129.662499375
12,49.112700039374985,36.19440842082025,0.05525,1.2900062500000002,2.1000875000000003,18.000343909374998,44.9225,77.109125521875,90.7996738562502,114.66656281249998,130.1812484375
13,42.91054988124998,32.22245646696175,-0.05,1.29635625,2.8038499999999997,14.785749575,35.24687484375,66.18959362187499,82.79767427375003,89.09669337749992,129.22499937499998
14,58.39745618437498,36.33647879685722,-0.05,2.1280812500000006,3.2685125,34.55834300625,55.79968823750001,81.00000054687499,109.36593600000002,111.76968753124994,133.881251875
15,84.28888115812501,35.79788266931476,2.9707500000000002,27.088001009375006,40.105124213749995,59.3877809375,83.99062425625,107.6875009375,133.93031325000007,142.89859368749998,151.778125625
16,119.5393496325,36.31022531139336,29.6395,62.60661915375001,78.83218660749999,95.48162451875001,117.23306037500001,147.40547109375,172.16281087500002,179.35265640625,180.84062812500002
17,175.97587419499996,48.75198205071095,65.6518752125,96.54687531250002,117.15592412875,140.2468753125,177.3812484375,216.878125625,226.22812281249998,233.77187500000002,305.343746875
18,210.57405623562505,64.80732867325342,75.23350085,110.63750125,136.2071858425,159.9437525,206.12499687499997,255.32812593750003,286.9656228125,307.6437475,388.581256875
19,177.29460062999996,54.454481257109016,60.5412493625,88.86039293374999,121.97521519874999,140.68296752812498,181.22606405,210.46703124062498,252.6981279062501,268.47781681249995,308.65624906249997
20,145.313437880625,44.3732036519093,34.308125212499995,75.322819169375,92.29108699,117.90987510625,137.92181224375,182.889064296875,197.57749978125005,217.384378484375,226.03124624999998
21,116.29555601249999,35.16582970613963,28.4473752125,67.75358025625,72.016250425,99.5541260625,114.06787521249998,129.3721243625,165.33374946875006,172.79155917187495,203.818755
22,109.40722508312497,35.05364248583455,16.235,61.457472779375,64.65312648749999,93.33531211875,108.1625,121.72212776250001,155.13343721875003,169.2478126875,189.78124624999998
23,110.67551293312502,38.8074622677718,9.551874787500001,48.048087282500006,71.75367463375001,85.08365520625,111.10793834374999,141.7460946875,160.32656434375005,165.31859246875004,185.08437656249998
