hour,mean,std,min,p05,p10,p25,p50,p75,p90,p95,max
0,98.99375020000001,36.97946298253855,6.295,28.8765,46.350500675000006,82.9025000625,111.05500037499999,130.1649995625,137.40825175,138.769751675,143.56250025
1,95.7909994875,36.52780033401482,4.105,22.209625,47.770751125000004,76.0775005625,107.50624925,128.46187406250002,132.85824872499998,133.8890027625,137.95499825000002
2,94.1911254375,36.18845616878163,2.8875,16.615,48.07025045,78.08062699999999,107.472499875,125.0125016875,127.914750375,131.4408743375,135.63750100000001
3,93.60450016249999,36.83903884179511,1.1475,13.423874762500002,47.072998850000005,74.0637501875,107.6087495,123.70749968749999,127.16649962500001,130.494625775,137.47000125
4,94.5480001,37.891471780827075,1.465,18.4296252375,46.342749350000005,72.3806253125,109.692499875,122.7843755625,128.5172484,129.8467456125,138.9050025
5,102.6776253125,39.662669312646635,2.9074999999999998,28.182250237500003,46.754250025000005,82.148125,120.61250025000001,129.2668729375,137.11825067499998,139.36237718750002,154.512501
6,123.72974948749997,47.2373172329376,8.4575,46.932500712499994,62.461998725,96.854999875,130.92874925,155.4662498125,170.42099742500002,192.519001025,195.82499675
7,138.16524971249999,54.62584878315471,19.925,48.909499525,76.87249972500001,110.81249881250001,135.03374962499998,176.01062318750002,192.99650182500002,208.72187513750004,260.579998
8,119.729500225,42.72590584626223,6.9575,47.304000712500006,72.86799917500001,99.3837489375,124.11749925,142.7906251875,165.72924730000003,174.22212501250002,193.35750025
9,92.97925006249999,37.02795985597194,2.0025,21.77675,54.299499775,70.559375375,98.22624975000001,118.045625,133.08650005,140.97300047500002,150.76749999999998
10,70.28999985000002,35.84049866863342,1.6,10.997874525000002,15.108249950000001,40.7737496875,78.6387495,100.8837508125,107.762749075,110.80800192500001,118.1800005
11,54.78575024999999,35.60003313016717,1.6,1.904,2.6805000000000003,21.009999937499998,65.525000125,79.267500625,100.76625010000001,103.49012592499999,103.7299995
12,46.77400003750001,32.7114955503463,0.065,1.5161250000000002,2.3957500000000005,19.5968751875,47.61625062499999,67.80812631250001,92.08900025000001,98.77512517500001,104.14499875
13,45.168999875,32.36983907583088,-0.04,1.525125,3.2230000000000003,17.220624625,36.056250125,66.43500043750001,90.94449950000002,97.29049950000001,103.3799995
14,55.61662493750001,32.362976017318246,-0.04,2.5036250000000004,3.45425,35.748749562499995,61.709999375,82.87625025,90.26900005000002,105.70137555,107.1050015
15,80.27512491250002,29.933910812953176,3.495,31.786001187500005,45.690499900000006,64.063124125,86.355001,100.8568744375,114.4677499,117.361249075,121.4225005
16,113.84699965,26.461431228534593,34.870000000000005,72.83437547500002,84.4219987,104.699998375,118.03625199999999,132.5037469375,143.52675,144.34712298750003,144.6725025
17,153.0224993,35.184007406242166,77.23750025000001,102.43387525,111.35375025,137.1037496875,154.33500012500002,175.8487491875,181.585998425,189.88037487500006,244.2749975
18,183.10787498750003,48.596836522479286,88.510001,109.117874575,126.17975175,160.21937275,183.68874925,209.701875625,231.22674822500002,249.35249837500007,310.8650055
19,168.8520006,39.965527867081626,71.22499925,99.24762662500001,122.31575040000001,152.8424995625,168.28125175,192.5887488125,215.18200339999999,223.6048773375,246.92499924999998
20,138.39375036250001,32.447473078766606,40.36250025,87.6653754875,98.576750725,130.9156249375,146.96500187499998,155.0931241875,174.230002825,180.07450317500002,180.824997
21,122.41637474999997,29.05227819509497,33.46750025,78.922623825,84.38400032499999,115.9893759375,128.79374875,137.4606228125,152.09899789999997,152.7451244875,163.055004
22,115.16550008750002,29.8497592593628,19.099999999999998,71.8534973875,75.9192513,106.998750625,123.277501,134.48437675,142.342999875,143.63362793750002,151.824997
23,105.40525041250001,30.482745488261195,11.237499750000001,56.262749750000005,67.191499075,98.35875181249999,113.44125075,126.5575001875,132.27474920000003,133.40425315000002,148.06750125
