,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
wind_0,281.686628322303,278.2135076643475,310.032085751555,282.952420155072,331.4812886652175,336.023878535563,341.7778578450245,345.3407240377235,353.09770497333596,327.970430008938,342.005770113675,350.9542545815975,353.711719469256,352.566802429096,372.39821781301305,381.5275429033165,363.77451186320195,347.9316625169085,362.3763977327535,385.8736343914805,412.178315643747,391.442716364354,407.54045922878953,375.988472998675
wind_1,381.27770163867046,408.235256192813,384.33544098292947,383.765270456176,354.800687757159,366.71597783593154,356.772465644274,377.54132479949146,376.122067711333,358.449517621367,356.4730494127275,364.98436152770455,358.230803760364,369.35550096363653,381.6350532098415,379.390515030459,388.3293504429955,368.392339592523,388.089160011686,397.1712328349775,408.183272062476,449.9158890385095,406.582593466684,389.4476547502195
wind_2,320.703136304969,357.066342142232,367.1329640709075,392.1758278404555,383.8162218833365,370.222541566702,360.67006281984146,346.8825128251425,372.713718449773,380.4047495180185,369.18004099048153,378.6576105317865,359.5886604214995,376.710833586197,336.00869508491496,352.0909700300595,367.455691014966,381.675833798342,365.14441396033595,382.78945616107853,381.87546808463503,364.9378026354505,309.57748626428,290.745233236703
wind_3,360.88556366511597,366.12345331754796,379.76836006574797,394.4024098398295,388.785850041515,372.5691852937855,384.916559721556,386.7039337716785,396.450276921117,392.1074103570315,392.630998852986,378.8105817407175,377.186123465781,388.778401888004,442.42172591349896,395.45562670707,410.578365160501,403.225102437911,391.6279393334665,388.68235587352,372.9541054503655,375.5002777070955,368.1625019157455,341.829572161787
wind_4,315.9767302511965,351.843036555056,356.1183070242585,377.100637411201,361.99005226926,346.647837704237,365.85047597474704,373.92013866073995,381.198907221291,390.31132786706354,394.197271275265,374.159005057251,346.0404355912445,360.8635068367975,367.020072739996,353.08077126222946,367.70580273735897,358.8871415810575,369.8067669663845,369.863919220803,382.9458344348095,375.1659899366375,362.258581739165,343.7722036690615
wind_5,342.267644328639,359.897566061169,353.676692223706,373.192149812136,384.672869055315,383.3389454581735,377.565587286619,384.9578098541785,390.7477190996525,383.45694446900103,399.126419465771,391.0591015297375,382.7017646458515,390.140407686733,396.6289523342,412.36201543650304,398.214075297744,384.061372579515,407.1803764480475,413.7015863053105,407.754215653055,419.41242151639455,418.9378463022435,350.077862857753
wind_6,327.3736340694395,347.6263584652395,353.81941638882046,356.04751228069796,358.575385573837,364.641226576517,364.1132962779015,374.2785467691675,359.1558007463305,380.3086162259125,362.21764497186547,345.81882499730597,354.6695899774665,342.14474911842353,351.54182913083446,359.3130154260255,348.8078927208915,361.46453327968953,353.71845529790255,388.453856797345,372.0656411528075,383.4804824267255,375.3070695172405,372.333954503332
wind_7,334.75045983005555,339.9989930503715,354.7538880357485,351.9664700317145,362.95574163112747,350.879291024492,368.5127118313165,361.19805926206897,350.4737866344575,364.8512433215555,364.91353177675103,364.9166894555625,353.5358632338415,336.61902383791147,294.9754971962115,298.142966480706,315.6109608799425,248.97477632808952,273.907307495883,274.94058740077446,225.58840000224,212.783124776075,310.9814265916275,292.312525686433
wind_8,325.489255059438,304.3909350724655,323.787159944567,317.12331590485996,344.501374482652,373.464192157298,378.8515341785755,376.176800931155,399.3501192475935,422.9840885068715,402.5307794813055,403.0763223069625,388.2265383479985,367.1973673439905,371.58657301724503,343.3476480088755,375.4876138696075,372.24261044090304,359.600619487161,341.6081472852685,380.85885590512,404.367768120069,395.13768186464546,394.846611955959
wind_9,218.70933702918998,286.2336889194675,237.960808449426,301.3889593222495,334.984715631272,304.4035847346005,301.4550678254225,307.16429165731154,337.0551892779295,367.515374931378,378.6201526906005,397.06324952628,386.725180191767,393.44975117498296,447.2594613462665,457.310594572289,433.24438837434496,422.110932959622,428.76623796039746,497.111443858125,469.29858790569,494.650649642923,416.6742354582975,389.1717005700525
