hour,mean,std,min,p05,p10,p25,p50,p75,p90,p95,max
0,321.54669046025384,56.07961851305257,138.6494270417915,214.70634152982007,275.38889919299174,313.82108372539676,327.849323418008,355.00751860485445,377.02245341206503,378.36829707983327,381.27770163867046
1,345.5811407279024,45.50468488766917,255.8078105702245,275.58682233341665,278.054939193166,322.09892700081684,349.54975892327,367.86196703418847,407.964906594405,409.0812042488921,425.154217314395
2,345.39756459551717,53.043482175570865,183.620850330129,235.24381054346114,287.4337171235964,333.8147054518929,360.5961381954428,380.10263459372237,386.47631789045704,390.93277928084774,407.0275211790975
3,360.8940027425835,34.39651522809099,282.952420155072,295.1752092157841,300.83191478034354,350.9404331786752,370.175311536883,384.82494916550934,394.53163284687827,396.17096265122916,405.22109472856
4,367.6192009000292,30.819015834696312,291.2853557083635,329.4714920173748,334.6343729346666,354.2839442482831,366.3990788932198,384.0303836763311,388.9021430049803,392.7954048075882,453.07702139950004
5,363.57879418603864,30.4617428181255,301.1525576459985,304.2410333801704,331.6685516613245,345.2142186089949,368.75895618708944,381.98538966093474,386.6226806740139,395.1307233995303,439.3221194294155
6,367.02844421461845,31.68123357570717,286.9958356270745,300.7321062155051,337.7455788430643,359.6956635259496,369.97694745768024,380.3677905643206,391.52197571191925,395.0820676472038,443.418408524451
7,370.6726181433094,25.03811903582281,307.16429165731154,335.0053472514847,344.4537182306479,358.78180827956237,375.44456556417197,385.0963611327516,387.51240535280334,393.915265253974,433.71936374440503
8,367.2090145520086,27.85434252471554,271.2152302911245,333.76319132858924,347.4109908072852,356.0354385575381,372.64616044834924,381.5746178579376,396.74026115376466,399.4056323309213,400.4603809141495
9,372.3505436782797,32.771798832287736,273.4344545367155,325.2436312353269,342.16729616243924,363.25081189650837,374.28694949600026,387.6078738461365,397.1253199705237,423.67163506184136,436.735019606268
10,374.7012667529319,24.663262604522306,302.643422945323,340.0376527552574,348.6046206933362,360.781496082081,380.81587085622823,394.2482667346215,401.5099368271078,401.82458298202044,402.5307794813055
11,369.8138624778574,39.012189565722984,230.94496931586,324.25680113502455,339.0141650576889,361.4260807370713,377.78570695779274,392.56013852887315,403.471746590513,407.53922579164464,417.203778126001
12,359.25537313084703,38.767447898725635,266.8094487645135,279.132679715291,327.64321211791736,347.7208781424485,356.4501968689152,383.70761853233034,392.10193803016466,421.59966535743274,438.8434650588225
13,362.7413495949804,30.80200398823645,283.23562334029003,285.8947027161643,331.56058688034665,350.57610935041765,370.61558657694377,384.212446503927,390.36630520837764,392.4519013167697,393.44975117498296
14,375.3114787330537,40.957792878573606,291.55619221319154,294.8045319470605,331.9053752960446,356.8534131811066,376.87162670704197,391.02888546256247,442.8932879865022,447.14345237866775,447.2594613462665
15,371.5213127115118,39.208345779971246,298.142966480706,307.8870154369257,319.43320227245266,349.9051395247635,376.8454952328825,395.665284982966,414.4878275125477,434.8046591157165,457.310594572289
16,375.1143102036554,39.709965937280415,281.71819261652246,295.38004693690533,313.6597739820619,363.4307152912363,377.0118922048988,402.15590167849854,412.8449674818854,433.3984621216633,436.3258633207115
17,368.7514074263105,45.414559852722434,248.97477632808952,251.63829136771827,330.4500301091701,358.48778596335137,377.02907392383673,403.32169674283625,409.3956083337071,419.2654947515927,422.110932959622
18,373.7631261994345,44.28395857424116,270.668293606424,273.7453568014101,310.85740492136085,361.6824531713554,369.74638840108,408.12352523897647,423.3743005394382,426.3705283103941,428.76623796039746
19,382.89875286670497,61.99555221691962,243.217115798047,273.3544138206381,274.9869724006625,369.49470304020724,388.5681063354325,412.63461187284764,453.49009321380095,488.6818626575883,497.111443858125
20,377.18778853582154,61.57741568186959,225.58840000224,241.88221041771402,258.9067072338655,372.731989375976,387.52437139159,413.24970740557103,425.3498602051453,428.3370553997183,469.29858790569
21,390.1783293238235,54.27335441682065,212.783124776075,339.7399419727392,357.28147913031574,375.416705764481,388.57115154797475,407.2888646306702,452.15949393002427,473.4668735381203,494.650649642923
22,376.3209059439905,47.55290368310078,230.48674933747048,305.62294941793954,310.8410325588928,366.874971173012,376.73138520123075,406.82205990721036,419.1608500447159,422.9124794777706,456.0597987430195
23,356.94978888867536,36.83380250145412,284.7631177500365,290.44612746236965,292.15579644146,340.1392141643887,354.8436740154392,389.24068911509426,395.01684220908487,397.982569440321,425.222013549287
