scheme,sample_size,beta,expected_profit,cvar_profit,std_profit,min_profit,p05_profit,p10_profit,median_profit,max_profit
one-price,200,0.0,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,200,0.0,916847.4471632239,425756.7131755829,273197.4998295199,297587.48443426733,437266.40810690756,465208.275989821,972051.1898565671,1431228.8199000775
one-price,200,0.25,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,200,0.25,916632.2615599307,425799.3838293989,272925.14786971797,297582.3821752861,436940.17385012546,465204.38864635734,971426.6803973315,1431387.7802465458
one-price,200,0.5,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,200,0.5,916618.8415558478,425807.69353549444,272920.62910756236,297699.93619185267,436979.9329661684,465279.6562301205,971512.201137181,1431630.3127192957
one-price,200,0.75,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,200,0.75,916569.7431668299,425896.6373421628,272758.81154534686,299347.47424904077,436966.581011691,465245.34892503347,970637.6318430572,1431739.0383198252
one-price,200,1.0,999688.4038699024,466067.94963756966,296422.83576206886,333418.4791973453,478347.9650517196,508813.21571807645,1054610.8268598132,1584781.606191428
two-price,200,1.0,915896.0251456987,425802.52980243944,272309.8410110627,302509.68781020097,436774.5826519849,464618.2376461941,969610.581786379,1431394.2420103317
one-price,400,0.0,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,400,0.0,916832.7391161642,425848.877607641,273063.31128191925,298998.91156873765,437207.16627754655,464988.92457827856,971559.4192633436,1431352.4159875286
one-price,400,0.25,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,400,0.25,916810.3730388561,425881.98690876056,273017.4696824806,299423.82132362336,437101.75357785093,464985.8486273218,971450.3627612421,1431032.3599620305
one-price,400,0.5,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,400,0.5,916634.766709368,425983.551636706,272779.76957445283,302047.7101145978,436916.61701125046,465033.8055980822,970454.355070746,1430731.0991103048
one-price,400,0.75,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,400,0.75,916554.9481454524,426006.0827438969,272705.62205760996,302845.60995706316,436919.63540244976,465031.7810842148,970290.5111084392,1430390.4936305028
one-price,400,1.0,1002534.5788611523,467690.4505343982,296912.84767478326,335943.5220377218,480688.90256607055,509745.3959089844,1056351.747271563,1579953.228113984
two-price,400,1.0,916039.0697108966,425960.8593680124,272341.9025065823,304527.30903587857,436873.95291874954,464784.3949891318,969694.094914682,1429337.3097198647
one-price,800,0.0,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,800,0.0,916865.5291345748,425727.55295919476,273242.0473420191,297400.4789797421,437426.69863323425,465222.9603722017,972148.9556674291,1431387.0383069979
one-price,800,0.25,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,800,0.25,916825.7363978046,425895.4905672867,273032.32029503514,299088.96036686323,437270.138046859,465216.00049077114,971374.1992977774,1431272.8042009133
one-price,800,0.5,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,800,0.5,916646.3213123385,425916.44581114483,272797.3340266881,299132.6008129924,436893.8527275196,465280.41777085705,970737.8569229352,1431316.9459565014
one-price,800,0.75,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,800,0.75,916472.5594331863,425945.7112477844,272554.010554683,301233.29772283114,436729.7722543186,465193.01194772334,970435.5244329693,1431084.5694075173
one-price,800,1.0,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,800,1.0,916210.2063181157,425987.0387864533,272313.7150747823,302243.5790431636,436761.7246736233,465104.2045426781,969798.7794251672,1430077.9605495844
one-price,1600,0.0,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,1600,0.0,916868.4932084999,425742.7592807619,273233.2125864181,297540.8518971842,437479.05271973374,465222.6221106421,972107.342491363,1431272.8042009138
one-price,1600,0.25,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,1600,0.25,916820.5785851092,425918.6831995708,273018.4603837824,299498.1042701873,437280.84778470447,465211.29686530365,971284.1726642365,1431085.060044996
one-price,1600,0.5,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,1600,0.5,916809.5623925662,425936.3473236317,272991.5224070134,299624.5048188865,437261.82226656546,465189.50161372824,971232.3864970747,1431085.0600449957
one-price,1600,0.75,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,1600,0.75,916695.9521164504,426009.5860705335,272861.6802377005,300905.38422976184,437103.2167234662,465211.46271594876,970633.3820276723,1430419.5202124584
one-price,1600,1.0,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,1600,1.0,916382.2228210471,426043.49687139393,272542.9844886711,301554.82723429974,437030.7873911906,465012.48208201764,970108.7611140287,1429848.09434593
