scheme,beta,hour,offer_MW
one-price,0.0,0,0.0
one-price,0.0,1,500.0
one-price,0.0,2,500.0
one-price,0.0,3,500.0
one-price,0.0,4,500.0
one-price,0.0,5,0.0
one-price,0.0,6,0.0
one-price,0.0,7,0.0
one-price,0.0,8,500.0
one-price,0.0,9,500.0
one-price,0.0,10,500.0
one-price,0.0,11,500.0
one-price,0.0,12,0.0
one-price,0.0,13,500.0
one-price,0.0,14,0.0
one-price,0.0,15,0.0
one-price,0.0,16,0.0
one-price,0.0,17,0.0
one-price,0.0,18,0.0
one-price,0.0,19,0.0
one-price,0.0,20,0.0
one-price,0.0,21,500.0
one-price,0.0,22,500.0
one-price,0.0,23,0.0
two-price,0.0,0,0.0
two-price,0.0,1,500.0
two-price,0.0,2,369.8665591229095
two-price,0.0,3,377.100637411201
two-price,0.0,4,383.088505299735
two-price,0.0,5,0.0
two-price,0.0,6,286.9958356270745
two-price,0.0,7,0.0
two-price,0.0,8,378.4956893612635
two-price,0.0,9,380.4047495180185
two-price,0.0,10,384.544799084985
two-price,0.0,11,382.707235863942
two-price,0.0,12,353.57177723163153
two-price,0.0,13,378.358955968673
two-price,0.0,14,371.58657301724503
two-price,0.0,15,359.3130154260255
two-price,0.0,16,367.70580273735897
two-price,0.0,17,347.9316625169085
two-price,0.0,18,353.71845529790255
two-price,0.0,19,382.78945616107853
two-price,0.0,20,381.87546808463503
two-price,0.0,21,400.6379210427575
two-price,0.0,22,395.13768186464546
two-price,0.0,23,350.077862857753
one-price,0.01,0,0.0
one-price,0.01,1,500.0
one-price,0.01,2,500.0
one-price,0.01,3,500.0
one-price,0.01,4,500.0
one-price,0.01,5,0.0
one-price,0.01,6,0.0
one-price,0.01,7,0.0
one-price,0.01,8,500.0
one-price,0.01,9,500.0
one-price,0.01,10,500.0
one-price,0.01,11,500.0
one-price,0.01,12,0.0
one-price,0.01,13,500.0
one-price,0.01,14,0.0
one-price,0.01,15,0.0
one-price,0.01,16,0.0
one-price,0.01,17,0.0
one-price,0.01,18,0.0
one-price,0.01,19,0.0
one-price,0.01,20,0.0
one-price,0.01,21,500.0
one-price,0.01,22,500.0
one-price,0.01,23,0.0
two-price,0.01,0,138.6494270417915
two-price,0.01,1,500.0
two-price,0.01,2,369.8665591229095
two-price,0.01,3,377.100637411201
two-price,0.01,4,383.088505299735
two-price,0.01,5,301.1525576459985
two-price,0.01,6,0.0
two-price,0.01,7,0.0
two-price,0.01,8,378.4956893612635
two-price,0.01,9,380.4047495180185
two-price,0.01,10,384.544799084985
two-price,0.01,11,382.707235863942
two-price,0.01,12,353.57177723163153
two-price,0.01,13,378.358955968673
two-price,0.01,14,371.58657301724503
two-price,0.01,15,359.3130154260255
