scheme,beta,expected_profit,cvar_profit,profit_std,min_profit,p05_profit,p10_profit,p50_profit,max_profit,max_offer_change_from_beta_0
one-price,0.0,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484,0.0
two-price,0.0,916868.4932084999,425742.7592807619,273233.2125864181,297540.8518971842,437479.05271973374,465222.6221106421,972107.342491363,1431272.8042009138,0.0
one-price,0.01,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484,0.0
two-price,0.01,916868.4932084999,425742.7592807619,273233.2125864181,297540.8518971842,437479.05271973374,465222.6221106421,972107.342491363,1431272.8042009138,301.1525576459985
one-price,0.05,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484,0.0
two-price,0.05,916868.4932084999,425742.7592807619,273233.2125864181,297540.8518971842,437479.05271973374,465222.6221106421,972107.342491363,1431272.8042009138,307.16429165731154
one-price,0.1,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484,0.0
two-price,0.1,916868.4932084999,425742.7592807619,273233.2125864181,297540.8518971842,437479.05271973374,465222.6221106421,972107.342491363,1431272.8042009138,301.1525576459985
one-price,0.2,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484,0.0
two-price,0.2,916868.350836154,425743.4937033538,273232.58697819844,297547.1148510484,437481.12405122677,465222.622110642,972107.342491363,1431272.8042009138,307.16429165731154
one-price,0.4,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484,0.0
two-price,0.4,916815.8487605903,425929.4007430027,273001.2280512241,299532.3257919593,437281.0766741187,465230.82238983543,971232.3864970747,1431085.0600449957,307.16429165731154
one-price,0.6,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484,0.0
two-price,0.6,916733.5716514885,425992.23697634396,272910.49218698184,300815.3006991802,437211.49692935747,465149.5043450128,970574.2723938789,1430493.1942173266,307.16429165731154
one-price,0.8,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484,0.0
two-price,0.8,916692.0380956295,426010.73810276145,272858.0023510745,300939.8197539873,437096.05261927337,465200.1427668057,970620.9697682394,1430419.5202124582,307.16429165731154
one-price,0.95,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484,0.0
two-price,0.95,916488.6913225125,426040.71142695483,272643.0191459103,301396.3233565794,437118.9905489051,465106.9232570516,970312.1669494165,1430048.1435739822,301.1525576459985
one-price,1.0,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484,0.0
two-price,1.0,916382.2228210471,426043.49687139393,272542.98448867106,301554.82723429997,437030.7873911905,465012.4820820177,970108.7611140287,1429848.09434593,248.06101689221595
