"startTime";"endTime";"Wind power generation - 15 min data"
"2026-02-28T23:00:00.000Z";"2026-02-28T23:15:00.000Z";524.77
"2026-02-28T23:15:00.000Z";"2026-02-28T23:30:00.000Z";525.63
"2026-02-28T23:30:00.000Z";"2026-02-28T23:45:00.000Z";533.94
"2026-02-28T23:45:00.000Z";"2026-03-01T00:00:00.000Z";505.23
"2026-03-01T00:00:00.000Z";"2026-03-01T00:15:00.000Z";503.33
"2026-03-01T00:15:00.000Z";"2026-03-01T00:30:00.000Z";436.53
"2026-03-01T00:30:00.000Z";"2026-03-01T00:45:00.000Z";402.3
"2026-03-01T00:45:00.000Z";"2026-03-01T01:00:00.000Z";363.57
"2026-03-01T01:00:00.000Z";"2026-03-01T01:15:00.000Z";345.37
"2026-03-01T01:15:00.000Z";"2026-03-01T01:30:00.000Z";345.34
"2026-03-01T01:30:00.000Z";"2026-03-01T01:45:00.000Z";359.53
"2026-03-01T01:45:00.000Z";"2026-03-01T02:00:00.000Z";377.77
"2026-03-01T02:00:00.000Z";"2026-03-01T02:15:00.000Z";372.33
"2026-03-01T02:15:00.000Z";"2026-03-01T02:30:00.000Z";374.87
"2026-03-01T02:30:00.000Z";"2026-03-01T02:45:00.000Z";358.67
"2026-03-01T02:45:00.000Z";"2026-03-01T03:00:00.000Z";354.43
"2026-03-01T03:00:00.000Z";"2026-03-01T03:15:00.000Z";366.63
"2026-03-01T03:15:00.000Z";"2026-03-01T03:30:00.000Z";388.03
"2026-03-01T03:30:00.000Z";"2026-03-01T03:45:00.000Z";446.39
"2026-03-01T03:45:00.000Z";"2026-03-01T04:00:00.000Z";519.02
"2026-03-01T04:00:00.000Z";"2026-03-01T04:15:00.000Z";628.85
"2026-03-01T04:15:00.000Z";"2026-03-01T04:30:00.000Z";739.58
"2026-03-01T04:30:00.000Z";"2026-03-01T04:45:00.000Z";868.18
"2026-03-01T04:45:00.000Z";"2026-03-01T05:00:00.000Z";932.6
"2026-03-01T05:00:00.000Z";"2026-03-01T05:15:00.000Z";1006.32
"2026-03-01T05:15:00.000Z";"2026-03-01T05:30:00.000Z";1072.53
"2026-03-01T05:30:00.000Z";"2026-03-01T05:45:00.000Z";1137.21
"2026-03-01T05:45:00.000Z";"2026-03-01T06:00:00.000Z";1248.79
"2026-03-01T06:00:00.000Z";"2026-03-01T06:15:00.000Z";1227.67
"2026-03-01T06:15:00.000Z";"2026-03-01T06:30:00.000Z";1205.11
"2026-03-01T06:30:00.000Z";"2026-03-01T06:45:00.000Z";1189.21
"2026-03-01T06:45:00.000Z";"2026-03-01T07:00:00.000Z";1105.94
"2026-03-01T07:00:00.000Z";"2026-03-01T07:15:00.000Z";1062.13
"2026-03-01T07:15:00.000Z";"2026-03-01T07:30:00.000Z";1026.44
"2026-03-01T07:30:00.000Z";"2026-03-01T07:45:00.000Z";923.48
"2026-03-01T07:45:00.000Z";"2026-03-01T08:00:00.000Z";828.86
"2026-03-01T08:00:00.000Z";"2026-03-01T08:15:00.000Z";759.71
"2026-03-01T08:15:00.000Z";"2026-03-01T08:30:00.000Z";683.77
