hour,expected_da_minus_balancing_price_eur_per_mwh,optimal_offer_MW
0,-24.74843754999979,0.0
1,14.368649923125004,500.0
2,4.709556271874999,500.0
3,4.6802250081250305,500.0
4,4.727400005000005,500.0
5,-25.669406328124918,0.0
6,-30.932437371875185,0.0
7,-34.541312428124805,0.0
8,5.9864750112500005,500.0
9,4.648962503125023,500.0
10,3.5144999924999865,500.0
11,2.739287512500005,500.0
12,-2.3387000018750013,0.0
13,2.258449993750007,500.0
14,-2.780831246875007,0.0
15,-4.013756245625021,0.0
16,-5.692349982500005,0.0
17,-22.953374895000024,0.0
18,-27.466181248124883,0.0
19,-8.442600030000023,0.0
20,-6.919687518124996,0.0
21,6.120818737499988,500.0
22,5.7582750043750055,500.0
23,-5.270262520624999,0.0
