hour,one_price_offer_MW,two_price_offer_MW,difference_two_minus_one_MW
0,0.0,0.0,0.0
1,500.0,500.0,0.0
2,500.0,369.8665591229095,-130.1334408770905
3,500.0,377.100637411201,-122.89936258879902
4,500.0,383.088505299735,-116.911494700265
5,0.0,0.0,0.0
6,0.0,286.9958356270745,286.9958356270745
7,0.0,0.0,0.0
8,500.0,378.4956893612635,-121.50431063873651
9,500.0,380.4047495180185,-119.59525048198151
10,500.0,384.544799084985,-115.45520091501498
11,500.0,382.707235863942,-117.292764136058
12,0.0,353.57177723163153,353.57177723163153
13,500.0,378.358955968673,-121.641044031327
14,0.0,371.58657301724503,371.58657301724503
15,0.0,359.3130154260255,359.3130154260255
16,0.0,367.70580273735897,367.70580273735897
17,0.0,347.9316625169085,347.9316625169085
18,0.0,353.71845529790255,353.71845529790255
19,0.0,382.78945616107853,382.78945616107853
20,0.0,381.87546808463503,381.87546808463503
21,500.0,400.6379210427575,-99.36207895724249
22,500.0,395.13768186464546,-104.86231813535454
23,0.0,350.077862857753,350.077862857753
