scheme,alpha,beta,variables,constraints,solve_time_s,risk_adjusted_objective_eur,both_delta_variables_active_count
one-price,0.9,0.0,1625,1600,0.0036011909978697076,1003703.9288620913,
two-price,0.9,0.0,78425,40000,0.3069980729924282,916868.8483645812,160.0
one-price,0.9,0.05,1625,1600,0.009599255994544365,976904.727596116,
two-price,0.9,0.05,78425,40000,0.8422626550018322,892312.703692355,160.0
one-price,0.9,0.1,1625,1600,0.014135710007394664,950105.526330141,
two-price,0.9,0.1,78425,40000,0.6677443059888901,867756.5590200447,160.0
one-price,0.9,0.2,1625,1600,0.013909014000091702,896507.1237981911,
two-price,0.9,0.2,78425,40000,0.694946274990798,818644.302662158,160.0
one-price,0.9,0.3,1625,1600,0.012044785005855374,842908.7212662406,
two-price,0.9,0.3,78425,40000,0.7620420989987906,769551.5590162528,160.0
one-price,0.9,0.4,1625,1600,0.011805906004155986,789310.3187342908,
two-price,0.9,0.4,78425,40000,0.7327932030020747,720462.7591125506,160.0
one-price,0.9,0.5,1625,1600,0.01024765100737568,735711.9162023399,
two-price,0.9,0.5,78425,40000,0.7713585540041095,671374.7281548242,160.0
one-price,0.9,0.6,1625,1600,0.011316504998831078,682113.51367039,
two-price,0.9,0.6,78425,40000,0.7323106310068397,622290.8278808387,160.0
one-price,0.9,0.7,1625,1600,0.011789096999564208,628515.1111384397,
two-price,0.9,0.7,78425,40000,0.7675998050108319,573218.3055598864,160.0
one-price,0.9,0.8,1625,1600,0.013121297000907362,574916.7086064902,
two-price,0.9,0.8,78425,40000,0.7217302789940732,524149.6152282817,160.0
one-price,0.9,0.9,1625,1600,0.012141803003032692,521318.3060745394,
two-price,0.9,0.9,78425,40000,0.7427339650021167,475089.9645790241,160.0
one-price,0.9,1.0,1625,1600,0.012215793001814745,467719.90354258945,
two-price,0.9,1.0,78425,40000,0.7899387330107857,426046.613216214,33276.0
