scheme,beta,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
one-price,0.0,0.0,500.0,500.0,500.0,500.0,0.0,0.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0
two-price,0.0,0.0,500.0,369.8665591229095,377.100637411201,383.088505299735,0.0,286.9958356270745,0.0,378.4956893612635,380.4047495180185,384.544799084985,382.707235863942,353.57177723163153,378.358955968673,371.58657301724503,359.3130154260255,367.70580273735897,347.9316625169085,353.71845529790255,382.78945616107853,381.87546808463503,400.6379210427575,395.13768186464546,350.077862857753
one-price,0.01,0.0,500.0,500.0,500.0,500.0,0.0,0.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0
two-price,0.01,0.0,500.0,369.8665591229095,377.100637411201,383.088505299735,0.0,0.0,0.0,378.4956893612635,380.4047495180185,384.544799084985,382.707235863942,353.57177723163153,378.358955968673,371.58657301724503,359.3130154260255,367.70580273735897,347.9316625169085,353.71845529790255,382.78945616107853,381.87546808463503,400.6379210427575,395.13768186464546,350.077862857753
one-price,0.05,0.0,500.0,500.0,500.0,500.0,0.0,0.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0
two-price,0.05,0.0,500.0,369.8665591229095,377.100637411201,383.088505299735,0.0,0.0,0.0,378.4956893612635,380.4047495180185,384.544799084985,382.707235863942,353.57177723163153,378.358955968673,371.58657301724503,359.3130154260255,367.70580273735897,347.9316625169085,353.71845529790255,382.78945616107853,381.87546808463503,400.6379210427575,395.13768186464546,350.077862857753
one-price,0.1,0.0,500.0,500.0,500.0,500.0,0.0,0.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0
two-price,0.1,0.0,500.0,369.8665591229095,377.100637411201,383.088505299735,0.0,0.0,0.0,378.4956893612635,380.4047495180185,384.544799084985,382.707235863942,353.57177723163153,378.358955968673,371.58657301724503,359.3130154260255,367.70580273735897,347.9316625169085,353.71845529790255,382.78945616107853,381.87546808463503,400.6379210427575,395.13768186464546,350.077862857753
one-price,0.5,0.0,500.0,500.0,500.0,500.0,0.0,0.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0
two-price,0.5,0.0,500.0,369.8665591229095,377.100637411201,383.088505299735,0.0,0.0,0.0,378.4956893612635,380.4047495180185,384.544799084985,382.707235863942,353.57177723163153,378.358955968673,371.58657301724503,353.08077126222946,367.455691014966,339.1913138579885,314.9629713019695,378.435263262804,380.85885590512,391.442716364354,395.13768186464546,343.7722036690615
one-price,1.0,0.0,500.0,500.0,500.0,500.0,0.0,0.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0
two-price,1.0,0.0,500.0,369.8665591229095,377.100637411201,383.088505299735,0.0,0.0,0.0,378.4956893612635,380.4047495180185,384.544799084985,382.707235863942,353.57177723163153,378.358955968673,367.020072739996,353.08077126222946,363.77451186320195,339.1913138579885,314.9629713019695,378.435263262804,380.85885590512,391.442716364354,394.02798962922395,343.7722036690615
one-price,2.0,0.0,500.0,500.0,500.0,500.0,0.0,0.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0
two-price,2.0,0.0,500.0,367.1329640709075,376.182107748964,370.955121460191,0.0,0.0,0.0,378.4956893612635,380.4047495180185,383.3519453188275,382.707235863942,353.5358632338415,376.710833586197,367.020072739996,352.0909700300595,363.77451186320195,339.1913138579885,314.9629713019695,369.863919220803,372.9541054503655,390.175681252802,378.155700885221,341.829572161787
one-price,5.0,0.0,500.0,500.0,500.0,500.0,0.0,0.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0
two-price,5.0,0.0,500.0,367.1329640709075,376.182107748964,370.955121460191,0.0,0.0,0.0,378.4956893612635,380.4047495180185,383.3519453188275,378.8105817407175,353.5358632338415,376.710833586197,351.54182913083446,352.0909700300595,362.3993255753395,339.1913138579885,314.9629713019695,369.863919220803,372.9541054503655,386.9666218431475,375.3070695172405,335.068140172194
one-price,10.0,0.0,500.0,500.0,500.0,500.0,0.0,0.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0
two-price,10.0,0.0,500.0,367.1329640709075,376.182107748964,370.955121460191,0.0,0.0,0.0,378.4956893612635,380.4047495180185,381.113800954515,378.6576105317865,353.5358632338415,369.35550096363653,351.54182913083446,343.3476480088755,362.3993255753395,308.46242303989777,310.01192039691915,369.863919220803,372.0656411528075,383.4804824267255,375.3070695172405,335.068140172194
one-price,25.0,0.0,500.0,500.0,500.0,500.0,0.0,0.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0
two-price,25.0,0.0,500.0,365.073969366627,376.182107748964,370.955121460191,0.0,0.0,0.0,376.122067711333,380.4047495180185,381.113800954515,376.913803383799,348.2810256595165,360.8635068367975,338.421272763542,343.3476480088755,362.3993255753395,302.0673801859759,308.36216632108756,368.38705449842,372.0656411528075,383.4804824267255,373.0105589399655,335.068140172194
one-price,50.0,0.0,500.0,500.0,500.0,500.0,0.0,0.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0
two-price,50.0,0.0,500.0,365.073969366627,376.182107748964,370.955121460191,0.0,0.0,0.0,376.122067711333,380.4047495180185,381.113800954515,376.913803383799,348.2810256595165,352.566802429096,338.421272763542,343.3476480088755,362.3993255753395,302.0226987257168,308.4165132297636,368.38705449842,372.0656411528075,383.4804824267255,373.0105589399655,335.068140172194
one-price,100.0,0.0,500.0,500.0,500.0,500.0,0.0,0.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0
two-price,100.0,0.0,500.0,365.073969366627,373.192149812136,370.955121460191,0.0,0.0,0.0,376.122067711333,380.4047495180185,381.113800954515,374.646347335063,348.2810256595165,352.566802429096,336.00869508491496,343.3476480088755,362.3993255753395,300.9008827189924,309.0189943452988,368.38705449842,372.0656411528075,383.4804824267255,373.0105589399655,335.068140172194
