scheme,alpha,beta,risk_adjusted_objective_eur,expected_profit_eur,cvar_profit_eur,std_profit_eur,min_profit_eur,p05_profit_eur,p10_profit_eur,median_profit_eur,max_profit_eur
one-price,0.9,0.0,1003703.9288620913,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,0.9,0.0,916868.8483645812,916868.4932084999,425742.7592807619,273233.2125864181,297540.8518971842,437479.05271973374,465222.6221106421,972107.342491363,1431272.8042009138
one-price,0.9,0.01,1008381.1278975172,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,0.9,0.01,921126.3079137773,916868.4932084999,425742.7592807619,273233.2125864181,297540.8518971842,437479.05271973374,465222.6221106421,972107.342491363,1431272.8042009138
one-price,0.9,0.05,1027089.9240392208,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,0.9,0.05,938156.1461105498,916868.4932084999,425742.7592807619,273233.2125864181,297540.8518971842,437479.05271973374,465222.6221106421,972107.342491363,1431272.8042009138
one-price,0.9,0.1,1050475.9192163502,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,0.9,0.1,959443.4438565148,916868.4932084999,425742.7592807619,273233.2125864181,297540.8518971842,437479.05271973374,465222.6221106421,972107.342491363,1431272.8042009138
one-price,0.9,0.5,1237563.8806333859,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,0.9,0.5,1129782.8596486899,916818.0771142156,425925.6591182118,273008.1721629322,299498.1042701873,437281.1200558714,465230.82238983543,971244.0003971535,1431085.060044996
one-price,0.9,1.0,1471423.83240468,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,0.9,1.0,1342749.4563096485,916809.5623925662,425936.3473236317,272991.5224070134,299624.5048188865,437261.82226656546,465189.50161372824,971232.3864970747,1431085.0600449957
one-price,0.9,2.0,1939143.73594727,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,0.9,2.0,1768725.9275471868,916722.5803292147,425998.30310822034,272888.72514815524,300815.977336623,437102.96564880776,465171.942125511,970763.4331998696,1430465.2849547672
one-price,0.9,5.0,3342303.4465750344,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,0.9,5.0,3046764.62091533,916664.3737555644,426016.8073069308,272834.18525246665,301135.46601196565,437113.4611049761,465120.7332162052,970563.3978648257,1430419.5202124582
one-price,0.9,10.0,5680902.964287978,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,0.9,10.0,5176939.84311891,916536.130583857,426037.1626156239,272681.68920860253,301368.9987105006,437056.24477446266,465082.068425068,970326.7844928782,1430241.5484420357
one-price,0.9,25.0,12696701.517426826,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,0.9,25.0,11567590.742981682,916446.1773276392,426042.62670459214,272593.609752771,301574.7100759657,437045.78711294057,464999.89122541994,970230.3168256776,1430016.8147166863
one-price,0.9,50.0,24389699.105991565,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,0.9,50.0,22218740.211562023,916423.7388083917,426043.18923184427,272575.9613890836,301575.86911304755,437045.2978224395,464999.1958031708,970189.6773961077,1429975.7771428206
one-price,0.9,100.0,47775694.283121035,1003703.9288620896,467719.9035425892,297565.35043586494,335824.0845377218,480672.10991304123,509962.2840649006,1059245.0300907465,1585264.790801484
two-price,0.9,100.0,43521064.360723816,916408.0400592048,426043.4322505299,272561.8414919767,301553.5199101164,437031.25698835397,465013.1495143814,970174.943068208,1429893.203860602
