repetition,scheme,alpha,beta,n_in_sample,risk_adjusted_objective_in_sample_eur,full_sample_expected_profit_eur,full_sample_cvar_profit_eur,full_sample_std_profit_eur,solve_time_s,variables,constraints,mean_offer_mw,min_offer_mw,max_offer_mw,both_delta_variables_active_count
1,one-price,0.9,0.0,200,1015996.517023739,1003703.9288620896,467719.9035425892,297565.35043586494,0.0004375540011096746,225,200,229.16666666666666,0.0,500.0,
1,two-price,0.9,0.0,200,928731.9986684639,916847.4471632239,425756.7131755829,273197.4998295199,0.05311414600873832,9825,5000,316.5642084790632,0.0,500.0,18.0
1,one-price,0.9,0.5,200,749116.3444998399,1003703.9288620896,467719.9035425892,297565.35043586494,0.0010446689993841574,225,200,229.16666666666666,0.0,500.0,
1,two-price,0.9,0.5,200,683200.8850720605,916618.8415558478,425807.69353549444,272920.62910756236,0.08347838099871296,9825,5000,313.0813301750189,0.0,500.0,18.0
1,one-price,0.9,0.8,200,589019.1922983069,1002534.5788611523,467690.4505343982,296912.84767478326,0.0010018969915108755,225,200,250.0,0.0,500.0,
1,two-price,0.9,0.8,200,535963.902271042,916456.978936494,425892.1732286865,272605.98189826874,0.06896768399747089,9825,5000,322.4813994267576,0.0,500.0,18.0
1,one-price,0.9,1.0,200,482620.46259594103,999688.4038699024,466067.94963756966,296422.83576206886,0.0010983399988617748,225,200,270.8333333333333,0.0,500.0,
1,two-price,0.9,1.0,200,437887.59498386935,915896.0251456987,425802.52980243944,272309.8410110627,0.03038860201195348,9825,5000,303.4285128124609,0.0,417.203778126001,43.0
2,one-price,0.9,0.0,200,1044495.3839827665,1003703.9288620896,467719.9035425892,297565.35043586494,0.0004239489935571328,225,200,229.16666666666666,0.0,500.0,
2,two-price,0.9,0.0,200,952898.8646717924,916819.9242851839,425774.9296917611,273132.23003405286,0.05536331499752123,9825,5000,316.34185018804243,0.0,500.0,14.0
2,one-price,0.9,0.5,200,761282.4618207829,1003703.9288620896,467719.9035425892,297565.35043586494,0.0010759969882201403,225,200,229.16666666666666,0.0,500.0,
2,two-price,0.9,0.5,200,693981.7685638159,916762.8960978475,425897.81941355934,272993.7192705254,0.07685941499948967,9825,5000,326.2833494630948,0.0,500.0,14.0
2,one-price,0.9,0.8,200,591354.7085235928,1003703.9288620896,467719.9035425892,297565.35043586494,0.0010163749975617975,225,200,229.16666666666666,0.0,500.0,
2,two-price,0.9,0.8,200,538741.4336477,916520.4836684394,425954.1585959738,272728.7544433754,0.06332600800669752,9825,5000,334.6027269125605,0.0,500.0,14.0
2,one-price,0.9,1.0,200,478371.93283404264,999012.0171400951,465422.6124472508,296701.27628222597,0.0010357209976064041,225,200,187.51841093540926,0.0,500.0,
2,two-price,0.9,1.0,200,435376.0456418505,916131.0407630104,425884.1833914168,272374.231592284,0.024585460996604525,9825,5000,302.1911747935074,0.0,425.154217314395,34.0
3,one-price,0.9,0.0,200,1027428.565390821,1003703.9288620896,467719.9035425892,297565.35043586494,0.0004383859923109412,225,200,229.16666666666666,0.0,500.0,
3,two-price,0.9,0.0,200,937656.9474508318,916796.8116257685,425774.77107529965,273104.3696221795,0.05468217399902642,9825,5000,315.333894963087,0.0,500.0,10.0
