scenario,profit_eur
0,503867.1125149636
1,494079.8804898582
2,493047.68380997196
3,486286.2409448581
4,952889.8676360268
5,946816.3183548485
6,963754.5784803813
7,927616.713204476
8,986911.9583686832
9,978875.5367018653
10,979466.127800516
11,957469.964718193
12,1376307.3376825715
13,1368045.1273250878
14,1362806.5792049428
15,1334205.6330441467
16,1104351.3482823493
17,1095135.8410696166
18,1102699.1880371051
19,1077262.4770021462
20,1159162.3832500747
21,1150514.1537273265
22,1152633.0026214207
23,1126651.7240610565
24,1101231.3247095812
25,1089117.360932141
26,1092533.4419795903
27,1074127.2895249478
28,983714.1015564061
29,976459.1245665293
30,969625.7177324852
31,960312.9554999568
32,1275153.6572297923
33,1258924.942742481
34,1261983.5657010304
35,1233249.167634478
36,1284664.2049563872
37,1279676.381649339
38,1291145.5049157545
39,1253526.0707392506
40,732562.8652826002
41,716210.5989216943
42,717852.9619548537
43,707922.3034725247
44,452131.2211541289
45,457735.849155281
46,449089.0448547241
47,444482.5257471813
48,506439.97480647976
49,473959.8135000362
50,470432.3344209157
51,467948.74371347966
52,1113626.2933385167
53,1099278.849459671
54,1114788.9687365796
55,1086951.4236701592
56,880921.9844022135
57,884566.8909517876
58,882582.8138907247
59,865396.5639530215
60,710538.243651541
61,683457.1773706754
62,680695.2667909245
63,670546.1950670563
64,1116222.0361914579
65,1112076.5873795226
66,1121399.8600497777
67,1088965.1998911675
68,857004.720965154
69,838431.3250601026
70,825818.5566415456
71,823981.7074084298
72,1086134.607158138
73,1066447.4610970416
74,1059078.8822807563
75,1050530.0479132822
76,1334293.691118767
77,1320452.320316494
78,1322736.895786268
79,1301383.9250674176
80,548505.1696099318
81,536161.8967061772
82,534934.7132677103
83,526938.9283749147
84,1026896.8911942523
85,1016061.2146820651
86,1034455.3056960262
87,996106.3745556314
88,1072896.7417369
89,1059411.1779007367
90,1061010.1933209621
91,1036737.3739855494
92,1497884.8640531967
93,1482519.5419285246
94,1478703.203333005
95,1446733.7797693142
96,1204637.0734027876
97,1188656.6389567018
98,1197316.5338968802
99,1169386.8845713064
100,1259910.4541929653
101,1244554.133068576
102,1247839.0716688188
103,1219171.3763661506
104,1207154.1760871848
105,1187096.1581193467
106,1191570.8350547887
107,1170508.1784252073
108,1085767.8352645917
109,1070680.8041299502
110,1064724.1817916455
111,1052972.4567207512
112,1382658.9705791892
113,1359605.7802668032
114,1363865.8342975096
115,1332328.7916571593
116,1400752.6597639932
117,1387175.7496511196
118,1400623.850005426
119,1360087.4348100582
120,795520.4497739085
121,775705.6836727536
122,777161.5916101813
123,765874.8214489965
124,508918.27565961157
125,509748.9724808344
126,502059.9885520396
127,496301.0703121348
128,529688.8841330055
129,498776.95367316937
130,493537.52171731164
131,489867.958967555
132,1209210.179606119
133,1187773.9748759621
134,1204560.7541089356
135,1174504.6732262392
136,977508.4193507319
137,972909.0638797878
138,972469.9930095059
139,953180.597350152
140,752214.9551367918
141,725483.34837597
142,722334.0088936491
143,710790.9473184529
144,1214953.3411942392
145,1203645.4223932922
146,1214616.5692701754
147,1179774.0016468475
148,935400.9787305086
149,912589.5911928008
150,899790.3711562091
151,895881.4337475483
152,1185118.994887076
153,1159025.6363423592
154,1152020.4944200455
155,1141247.0934403243
156,1456177.1134826422
157,1433786.3962972257
158,1437315.618118348
159,1413303.4437971907
160,509108.0850868506
161,501051.96628618514
162,503365.94342718273
163,493329.6701264515
164,973472.3657826479
165,967668.2735471316
166,989816.486637276
167,949214.4333691953
168,1010281.0782285025
169,1002487.9879058036
170,1009307.4374256483
171,982125.4416048736
172,1412677.9013983584
173,1405271.2827721564
174,1408947.098817189
175,1373171.9649764444
176,1132035.7433738695
177,1123316.8248297418
178,1137670.493082932
179,1105961.9989449633
180,1185865.4337792976
181,1177601.198803917
182,1186994.0207717102
183,1154538.4899853058
184,1132174.1992429025
185,1119616.2852642029
186,1130543.6872476854
187,1104897.7109765904
188,1017064.0094020674
189,1008937.0686056147
190,1009531.1685131517
191,993492.9539470939
192,1301030.5982719657
193,1285529.2187175374
194,1296683.085886073
195,1261108.8387527652
196,1326474.0788388061
197,1318491.8157068104
198,1337805.3666698611
199,1294362.7126041742
200,737028.3322640199
201,722810.0860325154
202,729005.1557805764
203,714713.1927944475
204,487173.0801649417
205,489417.5453356745
206,484290.74107461167
207,477527.08999448176
208,475290.29714616266
209,451391.0295353009
210,451165.0178989103
211,444755.58488630026
212,1136480.1051824125
213,1121669.5632879185
214,1143989.7064160183
215,1109798.337624948
216,928031.6530775747
217,927096.1419372124
218,931467.0427812338
219,909737.2107176497
220,694836.3707234722
221,674317.3594238609
222,676270.26319149
223,662094.9920156689
224,1149755.8988159979
225,1143877.460288208
226,1160084.7092106787
227,1122086.7656233541
228,869187.8994032182
229,853564.9966638546
230,847443.6940297247
231,839456.7557894458
232,1106903.5038870433
233,1088705.5139832888
234,1088832.8581969019
235,1073395.767325586
236,1367962.762862463
237,1353658.6108086673
238,1364631.23919125
239,1335453.7853275626
240,541914.757077799
241,530556.6199260222
242,535192.6718939224
243,524078.6709465335
244,1038014.7707921381
245,1027806.9534403982
246,1056920.9377934078
247,1013855.1535825339
248,1075599.866789846
249,1063433.790655724
250,1075798.0435642567
251,1046564.6431776332
252,1502726.7998746606
253,1489731.69384338
254,1499802.2706230632
255,1461392.3011169787
256,1206832.4574712769
257,1192120.0401137602
258,1212648.3104432924
259,1178695.5579557933
260,1262851.683205886
261,1249099.062949344
262,1264950.4536544937
263,1230141.6110302184
264,1204473.991684657
265,1185317.3222031882
266,1202173.3135814006
267,1174565.1978244013
268,1079870.271492607
269,1066103.7329517044
270,1070875.8323812457
271,1053323.8348100027
272,1384945.4864182938
273,1363116.3137622112
274,1381527.1699066472
275,1343321.2516241297
276,1411272.6824814556
277,1397779.4627383673
278,1425688.3656929915
279,1379015.1023165514
280,786874.2183558634
281,768078.5315476857
282,778452.9415428892
283,762719.3564827209
284,512917.2589433938
285,514105.3244896825
286,509985.9853520191
287,502784.03202262346
288,509482.7373075841
289,480679.8953442577
290,482298.98226656497
291,474462.54291474837
292,1212005.3327416764
293,1190671.034302118
294,1221169.6389019717
295,1184745.2403952752
296,981957.6806126207
297,977433.9511097934
298,985925.3452431116
299,962561.3194026873
300,743231.9699027701
301,718166.1925792081
302,724225.6615516266
303,708559.390164722
304,1223903.7761763518
305,1212891.296603675
306,1236313.8772196379
307,1196030.5534654218
308,923673.1965093751
309,902670.3315856867
310,899006.8960510038
311,889758.6790113852
312,1177559.9624708258
313,1153325.7241052184
314,1158200.3640339966
315,1141213.1540084253
316,1456785.8366965638
317,1435538.9060596456
318,1454037.6122343414
319,1422777.6462357598
320,514758.654377017
321,504294.44980178087
322,506062.88633524335
323,497453.025275429
324,982834.726822833
325,974714.2742639601
326,996764.3931956193
327,959071.0580300075
328,1021243.786498016
329,1010566.2420728791
330,1017044.591353822
331,992490.7933497868
332,1428413.2948540817
333,1416944.314326555
334,1419996.0075446637
335,1387472.3247150443
336,1143769.747123684
337,1131507.9356528511
338,1145167.0252787173
339,1116850.0067894172
340,1198935.9850822124
341,1187105.3982101127
342,1195967.045542053
343,1167008.581573275
344,1142347.7981393212
345,1126400.530461694
346,1136403.7587066817
347,1114504.448612926
348,1025075.817293645
349,1013712.8777326944
350,1013211.8456147639
351,1000353.3431178101
352,1315306.091350641
353,1296179.5780998345
354,1306767.4809135308
355,1274792.1438038636
356,1336101.4179425985
357,1326060.2059751586
358,1345036.5487787626
359,1304996.6285208021
360,747621.4293703869
361,730339.585653638
362,736230.6916284605
363,723973.6947150466
364,485986.21584220836
365,488205.40282390604
366,482567.34579559555
367,476452.6594030395
368,488730.56121105526
369,459987.94085328426
370,459207.6928630654
371,454122.54259405285
372,1148442.733284024
373,1130755.3241818738
374,1152750.665272411
375,1122548.3116274688
376,930158.3132284686
377,928263.2019125114
378,931738.8670396177
379,912557.2107486299
380,710313.7703762141
381,685698.2531353598
382,687649.8838657562
383,675001.1260330556
384,1159910.5643195356
385,1151780.9980909368
386,1167620.7179140511
387,1133057.443715835
388,880241.064305036
389,860651.7151769865
390,853441.8057778012
391,847612.1626439104
392,1120199.1701164823
393,1098064.3072540546
394,1097299.5570025444
395,1084932.3647557832
396,1383047.6377362993
397,1364945.8327248734
398,1375228.7355033155
399,1350252.409371523
400,552013.2717582176
401,540009.191489703
402,541127.3022123695
403,530768.0713284942
404,1050179.2581822588
405,1038326.8367628718
406,1061783.447212106
407,1019473.1116035795
408,1088857.9052457972
409,1075837.1433200208
410,1082162.8428687397
411,1054012.6555737872
412,1520804.313674061
413,1506057.041449125
414,1508520.15843802
415,1471557.7649272955
416,1219955.9576536529
417,1204333.8218143163
418,1218438.1596817942
419,1185665.7436330128
420,1278740.7328268983
421,1263953.203507139
422,1272865.8200390993
423,1239248.9147559744
424,1218287.6891600266
425,1198589.686602233
426,1208818.3504396356
427,1182621.1659344002
428,1091120.5501086551
429,1077423.8562085067
