profile_id,minute_00,minute_01,minute_02,minute_03,minute_04,minute_05,minute_06,minute_07,minute_08,minute_09,minute_10,minute_11,minute_12,minute_13,minute_14,minute_15,minute_16,minute_17,minute_18,minute_19,minute_20,minute_21,minute_22,minute_23,minute_24,minute_25,minute_26,minute_27,minute_28,minute_29,minute_30,minute_31,minute_32,minute_33,minute_34,minute_35,minute_36,minute_37,minute_38,minute_39,minute_40,minute_41,minute_42,minute_43,minute_44,minute_45,minute_46,minute_47,minute_48,minute_49,minute_50,minute_51,minute_52,minute_53,minute_54,minute_55,minute_56,minute_57,minute_58,minute_59
0,514.103298451266,509.8247892339097,534.9266436277064,548.7424056618619,520.3348200139974,553.6283846285703,571.908163767895,591.9326651372817,565.9006194245699,562.4276350772595,553.3834967735402,583.2570459929423,593.3276043985887,600.0,596.0389939179132,576.9457044428476,580.7666395339561,550.2338474612484,573.1680295007292,582.3845374392737,600.0,589.8168177690908,600.0,600.0,600.0,578.6247095496377,576.2951798105302,544.3614434156361,520.1617078603645,532.9751345873362,550.1084855008835,582.8341667712782,570.6419418409488,561.5741212633897,559.4430280526963,537.7060231885963,511.8005285620793,510.09987339789467,490.98352783145657,502.8705074592323,498.4711417802954,521.758615504344,535.7771726445014,522.6428375412443,545.9010236389083,567.2345286636845,559.3580151957967,544.5409824709138,557.3156677491621,532.0983416018138,511.09191577507136,476.60727465764177,496.6919810827915,508.2315410442337,522.5931175480772,542.2441497196149,539.3682540072988,544.1801377240014,518.9659275929374,491.98303274045554
1,473.99312548037926,471.96985991039855,476.53638736408175,495.0863073832035,504.51658978324485,508.2671478293046,512.4116490814836,498.6881559458664,465.8454043656222,461.41562161188756,441.4365487092546,435.03355376997916,459.7717688987508,441.14753290932464,410.2287248275593,394.92559726909906,380.4771603127669,391.81131634364954,395.803567007539,415.67644164498796,427.1783894679051,420.62546976871005,442.60689669533247,419.29500108887174,385.884846208242,357.1881964625369,372.7533510042884,370.0847571218855,346.37378165423763,346.44691591147307,322.10876310139486,335.85118935683636,332.0821286470185,323.7536144737723,309.85946071412366,318.97924223244587,309.3061249711832,280.44161932331025,253.70203247174632,286.0348689902123,314.6355173397448,328.6150167064973,312.22591400866366,345.06826042300435,364.58082370061,379.7631369417397,376.2184420918049,360.275351420966,332.02271877171097,360.20488652977986,357.10922681813264,336.27466235379876,322.69162604434445,328.23699587027716,305.61109067602337,330.57409056248963,348.67045765095435,364.03286456751994,359.2793773517772,368.19099620094823
2,441.95722818683953,452.44649029567694,423.3575927754692,417.46411092741187,385.37710309774434,384.9564604448607,373.04674530815566,348.16343852877895,320.40164626935757,326.5367663217974,303.4782741193794,333.23668240575523,338.9109621847829,328.1918485022215,334.55593290592066,301.15220387799945,333.25134880490066,332.01258939090366,351.8040552984237,322.5951552929944,321.6612384516656,321.0107280564821,351.6585799047309,356.6795435710562,354.8238016450429,338.51209806147546,326.7219278754541,328.1689960484618,323.89279826981505,290.4056438614382,313.24607855504325,340.9773325838269,315.79476881372966,319.57729886146313,292.1776007409442,304.234407253731,288.9207721224616,300.0803565508947,315.96997955097646,334.7753039852125,307.3171702021252,336.43799936175776,317.5529787243994,285.17185765673196,289.0115305141358,279.9760903845065,303.0613724037754,324.63897544827654,311.8386979458666,343.54165560074875,328.9059042705571,329.9599033167771,312.8774596565093,343.4005095599367,319.923056790678,288.06680014814106,283.5235943483537,317.9898838322623,345.4072924701063,362.80985383209276
3,558.5011465338395,586.0424113126899,587.3624965397413,574.4775301678968,593.518400415666,600.0,591.1560410211597,562.7687077854657,580.0439805798975,563.4162166944981,593.9931372318626,575.8610774822606,549.4541327510647,572.6320197998081,548.3619219635226,525.9107035345644,532.8674989410234,559.086841799646,537.8372683996661,524.5599255026727,543.9782641795551,577.0061140038229,577.0579970379869,552.1308222165744,518.1063623561486,499.18228445606843,473.4098397011249,485.84594685402493,459.37422217802214,459.8173173914664,473.41568788646845,479.0938505319316,458.0781461481356,479.366862980894,494.4453620540001,511.17424232808804,485.34828493709995,459.01105119262405,488.9404297630796,481.77090333082543,467.8373117554912,467.03819493009854,478.43868982354934,510.33231781683725,495.38355369858107,525.1201437504229,491.86030814746084,495.72417111033855,505.1024289280145,477.5152471905672,452.3390189850411,446.67702133718234,479.3132551872051,486.03623391361117,516.347859425626,537.6531235185339,535.3698356274043,555.3032770750574,521.5518519534465,494.191931727048
4,535.1828736554398,555.9600698382012,537.2449217758516,539.3987931177853,546.819900566786,572.5616273311068,579.7791283448177,573.6591381939753,564.8520212324781,559.6637672786238,570.298939069222,596.0232832918847,592.7960650372257,575.1448344438209,556.7111998536516,573.9321994706928,596.0920129103665,568.4614785001553,538.1205984870178,544.7309549499694,519.9630820434583,542.6895753754021,529.4130025500873,504.48403785806727,533.9519709321888,510.5391915236583,495.4695972873138,471.2225349507579,444.30683940733275,410.78720055088354,379.66487919238176,356.88978215789143,325.6265174417937,332.00658456956165,344.6566014455271,337.21073342376906,324.4701102104125,324.7869468019686,351.03729275839123,375.61650663594565,343.6597609768411,321.3646496485978,302.9367906259055,285.3939209341603,290.3802065561544,284.5185763553779,252.96636475030948,244.1193544424795,245.7820608527141,220.0,243.34209876519918,220.0,249.73893083126433,221.67685074185562,245.7270973536983,273.9128174286315,307.482765069693,328.62457668884457,348.1880045428376,358.1618338625259
5,516.018614739689,490.4372693286093,492.9620318449439,493.9576327582729,518.987682846852,516.3836384383981,508.3399031654228,518.1093321520206,501.76176437707977,476.54555314385675,474.99696232551895,469.1792181271609,450.45911396418205,441.184940672241,431.8324121600783,419.7571016689565,411.31958724984156,424.32162143175776,410.10297465174773,441.52302952182157,470.667390889494,469.3311208704995,457.31640522082773,459.79684050892797,484.19607472308167,494.8771885622888,516.1846165185842,518.475175843186,527.7794098919194,512.9503028846917,529.392824246412,508.5611457652123,522.1970147825072,547.4473495653198,521.6945481764278,529.7011300143622,501.35783239045765,517.1579263694575,488.0724516871039,518.5882392761478,493.2067943787939,525.3284115924296,546.3903039183863,552.9480442310311,572.7317315550994,593.3897702839154,600.0,582.736834768743,589.0421474438247,560.6955912733328,568.8271902750213,545.8175815615165,550.3641243645874,555.4342603469569,553.0532210556428,554.6374453415614,573.1120826420225,594.0592127978672,593.5099378881472,600.0
6,573.8697695622386,547.2511207573173,520.448370370325,491.58800120407886,502.63843115691583,496.9410122122424,516.1435113421715,528.129710273773,516.4843533567496,544.3700116720571,562.7472619670027,546.6847078307151,537.1781490747588,524.1889476890573,500.22176309280724,475.56659917076064,506.0955216070627,501.74880421097544,493.5811918053941,509.65919141281057,513.3687059805136,543.898505059206,563.5196096328634,562.0754791215812,553.420642265239,587.4848504099416,600.0,600.0,573.2935004051928,597.8308579485476,600.0,573.5345174834579,579.7125774813034,592.7393230386848,558.600511050887,555.4027683798092,578.1807341635517,563.855865937638,560.9542316635366,556.9162205582891,543.0511379592634,572.3420706453522,592.0326531255583,564.7738418952861,599.5662679439162,600.0,584.8735906504827,600.0,572.4493672309968,600.0,600.0,600.0,571.3308508888892,599.123188811653,566.1531540359658,548.0111180988462,523.0226493605106,542.3964052089659,521.2707011138688,550.0153770130307
7,469.3822349444463,436.91362467907504,402.29371306808406,370.909767259092,378.32452969443295,399.42825645459203,381.1269538985092,405.58557290312433,374.5918087138526,395.6592784687699,425.60495858082953,444.65254651813615,458.52100139664077,482.1796167025176,449.99020767081225,429.11495542114613,402.85961297254113,403.1767822860502,420.3399512690693,429.44078038941717,454.01995737275263,429.88486684362897,446.3083432790903,424.8212476399136,408.77436023215967,423.4676890418509,457.0820239847586,464.8900764031535,433.7050984525442,441.8467263474715,409.81126495808314,436.7014647537603,451.37194471080375,428.49089396037897,399.91136436807284,377.7586903896952,411.36059295848867,408.459837930583,428.34550431448156,437.89408826202595,442.96300875913056,418.12212658568404,449.34383833475067,435.4378226107809,440.89902771730885,454.8833438385435,465.3296647057151,496.1712733844014,471.56200267880547,472.14669437009144,465.4291017219451,463.62091278572836,436.96613961957047,411.35276231066405,395.81805051535207,382.14737277861025,377.10059773630474,384.86972602886874,394.29376424814717,388.1205270091371
8,375.33758158290493,355.5715784516923,361.75301584032286,348.9458796325295,316.47006803194495,310.7580711229252,308.9473583792371,289.73885915353185,294.81091447207996,299.4149475023144,313.5551001800404,323.91149393412513,334.58180789059736,321.71679851828037,341.8370540572971,345.2771609092747,340.476434571867,349.297308237741,339.5433216492588,340.4350687717319,357.0044669654873,384.0526690361469,413.5266728468103,413.78097760962726,415.2002356414671,436.19116439493564,423.20271281702975,446.81947818118454,446.40939343740416,419.51936414087294,389.563504435979,413.5030292087414,382.39278339222284,367.03558392157873,355.4246867566869,332.5342979200985,319.50683380623775,336.4953134769937,302.52311252619864,325.4252522426467,350.3836138928658,341.4419240162742,317.19482695051863,324.2536555066743,297.6307344172169,288.1750896926946,320.26513235576266,354.9476454366173,373.99498783143827,360.7622935258919,373.89884696751835,388.2772925513992,380.4262112128547,390.28841563388585,356.0393507821832,335.6733868843401,337.4295680920484,313.8921593901291,290.5056401414865,314.0469404800031
9,595.8705410197701,599.7884009817616,600.0,600.0,574.9117121998142,571.2889051276188,563.7689952365532,534.3724450917862,552.2455571874183,547.6100890999998,545.4629744933278,521.0100826602546,498.6749483164154,527.1722018673504,495.2976380955499,476.59729804160935,462.04145116362633,461.3552791317374,467.4064412427731,466.93673955231975,437.82481297130147,419.8815347552014,443.9327216885793,453.56393072207146,464.0043642314707,475.9185921060655,494.32180343883255,463.38939715933384,454.05198410461674,456.81890457293423,445.5108584037471,469.6243795338501,468.4044551349607,487.20838639711724,511.84947257879907,512.184876382044,540.8535334530385,546.9522092906271,571.4714102089877,560.3127659003943,560.2299529975983,562.4287258679187,534.7773059806436,527.6759814497515,556.8896185283688,566.0478753539007,543.4733361244885,532.1932306171608,510.6054412935498,477.34306051944986,507.2652926147317,503.6398055927127,490.16726066216773,497.0606640712093,462.57267601172043,447.0342234737774,461.24656607269986,470.6104501875483,504.3368665155258,512.7619061915889
10,401.45223197853846,419.752511401419,447.9854624389027,463.4341787091873,495.85896435764386,515.5993263093162,541.275426987651,514.2627119705056,530.5316571800707,526.3378661469866,530.0551323157758,540.8423009795408,573.7293591489307,600.0,585.1759771841533,600.0,600.0,589.2545002919135,562.925384532409,530.7916717524093,550.2056906794519,549.4846726066353,583.4724844712802,581.0206264048359,600.0,593.8103201535841,600.0,570.9373490618283,574.8196687714718,595.9638538604725,600.0,600.0,567.5879509040822,558.6771147955535,527.0860078575231,499.73576823554214,512.0071622422661,526.9352359840849,546.0956837766987,571.6776421405951,588.4378449339508,600.0,568.4274596876295,549.8449202185204,558.3777643547876,583.4465356785252,548.7615444243013,549.7855983724457,562.1957163279535,529.2682265669564,522.3631155956936,550.0575572925524,562.0704539124624,543.7065393477043,568.4012184219382,557.7634180606042,582.4975450406884,568.4236006190117,574.7460181808322,567.5318229231806
11,324.4335192869255,351.49254863895635,329.6241063747207,300.5609177612241,289.49580345942036,304.73054379433006,326.2507562126698,361.1627921173433,346.90813610812484,340.46407268731457,315.0415621493884,320.2825972230008,355.113199831405,369.1748705398511,375.83976936878713,368.3056058733127,397.3765190933015,397.160680822426,371.5663647543403,362.14285717827966,331.84452399762336,310.98305663583807,277.21987130583193,273.9494654608434,283.3672840074692,272.39775637399276,266.82448037936217,298.9691294784825,316.60654798872656,319.46651257487315,304.38437383270093,332.1741497468106,313.63094792845675,301.40493906462416,330.03947607423055,332.1074199441856,349.06967640344396,355.4218119949076,366.1625566255723,352.1193870316101,334.0154313454765,321.5898956472831,297.47080513312267,323.6728107034792,308.50009603098715,312.8043536399941,333.2425633998903,353.11025105619024,348.79728915708375,347.13530075815453,381.76442318360625,393.98624657213793,416.01093759038974,444.189715435736,464.32100397178976,442.2835581185395,446.6355094801695,418.7681004921876,429.4726493516675,461.34710932481426
